codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente
,,339.0,77.5,6.9,0.2,Argenfood - Universidad Nacional de Luján
,,82.0,19.1,1.4,0.1,Argenfood - Universidad Nacional de Luján
,,383.0,,15.6,7.8,Argenfood - Universidad Nacional de Luján
,,343.0,56.9,12.8,7.1,Argenfood - Universidad Nacional de Luján
,,86.0,13.4,3.8,1.9,Argenfood - Universidad Nacional de Luján
,,317.0,65.6,10.2,1.5,Argenfood - Universidad Nacional de Luján
,,82.0,16.5,3.8,0.1,Argenfood - Universidad Nacional de Luján
,,328.0,68.0,10.2,1.7,Argenfood - Universidad Nacional de Luján
,,332.0,72.2,8.9,0.9,Argenfood - Universidad Nacional de Luján
,,206.0,41.5,8.7,0.6,Argenfood - Universidad Nacional de Luján
,,214.0,41.0,10.4,0.9,Argenfood - Universidad Nacional de Luján
,,97.0,17.8,3.7,1.2,Argenfood - Universidad Nacional de Luján
,,346.0,67.6,9.5,0.9,Argenfood - Universidad Nacional de Luján
,,369.0,,11.1,3.2,Argenfood - Universidad Nacional de Luján
,,338.0,64.5,9.1,4.9,Argenfood - Universidad Nacional de Luján
,,68.0,11.9,3.2,0.8,Argenfood - Universidad Nacional de Luján
,,275.0,,9.1,2.9,Argenfood - Universidad Nacional de Luján
,,347.0,,12.4,2.0,Argenfood - Universidad Nacional de Luján
,,382.0,67.1,5.9,10.1,Argenfood - Universidad Nacional de Luján
,,395.0,,11.0,8.5,Argenfood - Universidad Nacional de Luján
,,401.0,,10.2,8.9,Argenfood - Universidad Nacional de Luján
,,300.0,,9.8,1.0,Argenfood - Universidad Nacional de Luján
,,361.0,,12.8,0.7,Argenfood - Universidad Nacional de Luján
,,442.0,,13.5,15.5,Argenfood - Universidad Nacional de Luján
,,437.0,,12.2,13.1,Argenfood - Universidad Nacional de Luján
,,410.0,64.2,12.2,11.6,Argenfood - Universidad Nacional de Luján
,,411.0,56.5,10.6,15.8,Argenfood - Universidad Nacional de Luján
,,417.0,,8.5,10.1,Argenfood - Universidad Nacional de Luján
,,419.0,,8.2,13.1,Argenfood - Universidad Nacional de Luján
,,442.0,,4.9,21.1,Argenfood - Universidad Nacional de Luján
,,342.0,,12.5,0.2,Argenfood - Universidad Nacional de Luján
,,340.0,68.7,10.3,2.7,Argenfood - Universidad Nacional de Luján
,,348.0,70.8,10.2,2.6,Argenfood - Universidad Nacional de Luján
,,308.0,58.8,11.4,3.0,Argenfood - Universidad Nacional de Luján
,,171.0,14.0,16.3,5.5,Argenfood - Universidad Nacional de Luján
,,269.0,,9.3,0.2,Argenfood - Universidad Nacional de Luján
,,268.0,57.0,8.4,0.7,Argenfood - Universidad Nacional de Luján
,,264.0,,8.9,0.2,Argenfood - Universidad Nacional de Luján
,,280.0,,8.7,0.3,Argenfood - Universidad Nacional de Luján
,,307.0,,9.8,1.9,Argenfood - Universidad Nacional de Luján
,,223.0,42.3,9.8,1.6,Argenfood - Universidad Nacional de Luján
,,271.0,,8.4,0.5,Argenfood - Universidad Nacional de Luján
,,269.0,,9.5,2.4,Argenfood - Universidad Nacional de Luján
,,269.0,,9.6,0.6,Argenfood - Universidad Nacional de Luján
,,349.0,,11.7,0.9,Argenfood - Universidad Nacional de Luján
,,70.0,,2.4,,Argenfood - Universidad Nacional de Luján
,,98.0,,4.1,1.5,Argenfood - Universidad Nacional de Luján
,,21.0,,1.6,0.3,Argenfood - Universidad Nacional de Luján
,,99.0,,4.4,0.2,Argenfood - Universidad Nacional de Luján
,,63.0,,2.9,0.4,Argenfood - Universidad Nacional de Luján
,,57.0,,6.6,0.4,Argenfood - Universidad Nacional de Luján
,,102.0,,8.9,,Argenfood - Universidad Nacional de Luján
,,77.0,,5.8,,Argenfood - Universidad Nacional de Luján
,,105.0,18.3,6.0,0.8,Argenfood - Universidad Nacional de Luján
,,304.0,46.9,22.5,2.9,Argenfood - Universidad Nacional de Luján
,,311.0,49.1,22.0,2.9,Argenfood - Universidad Nacional de Luján
,,129.0,,8.2,0.7,Argenfood - Universidad Nacional de Luján
,,668.0,,12.7,60.9,Argenfood - Universidad Nacional de Luján
,,84.0,,1.1,,Argenfood - Universidad Nacional de Luján
,,92.0,,1.2,,Argenfood - Universidad Nacional de Luján
,,212.0,,1.7,7.2,Argenfood - Universidad Nacional de Luján
,,28.0,,1.1,0.2,Argenfood - Universidad Nacional de Luján
,,23.0,,1.7,0.3,Argenfood - Universidad Nacional de Luján
,,37.0,,3.3,0.2,Argenfood - Universidad Nacional de Luján
,,25.0,,1.4,0.2,Argenfood - Universidad Nacional de Luján
,,731.0,,18.1,72.1,Argenfood - Universidad Nacional de Luján
,,17.0,,0.8,,Argenfood - Universidad Nacional de Luján
,,10.0,,0.6,,Argenfood - Universidad Nacional de Luján
,,31.0,,2.4,0.2,Argenfood - Universidad Nacional de Luján
,,22.0,,2.4,,Argenfood - Universidad Nacional de Luján
