codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,grupo,porcion_g,descripcion,carbohidratos_por_porcion
,,339.0,77.5,6.9,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,38.75
,,82.0,19.1,1.4,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,9.55
,,383.0,,15.6,7.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,343.0,56.9,12.8,7.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,28.45
,,86.0,13.4,3.8,1.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,6.7
,,317.0,65.6,10.2,1.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,32.8
,,82.0,16.5,3.8,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,8.25
,,328.0,68.0,10.2,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,34.0
,,332.0,72.2,8.9,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,36.1
,,206.0,41.5,8.7,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,20.75
,,214.0,41.0,10.4,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,20.5
,,97.0,17.8,3.7,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,8.9
,,346.0,67.6,9.5,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,33.8
,,369.0,,11.1,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,338.0,64.5,9.1,4.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,32.25
,,68.0,11.9,3.2,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,5.95
,,275.0,,9.1,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,347.0,,12.4,2,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,382.0,67.1,5.9,10.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,33.55
,,395.0,,11.0,8.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,401.0,,10.2,8.9,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,300.0,,9.8,1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,361.0,,12.8,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,442.0,,13.5,15.5,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,437.0,,12.2,13.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,410.0,64.2,12.2,11.6,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,32.1
,,411.0,56.5,10.6,15.8,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,28.25
,,417.0,,8.5,10.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,419.0,,8.2,13.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
,,442.0,,4.9,21.1,Argenfood - Universidad Nacional de Luján,ultraprocesados,50,1 porción estándar,
