codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,riga_color,riga_estrellas,riga_descripcion
,,339.0,77.5,6.9,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,82.0,19.1,1.4,0.1,Argenfood - Universidad Nacional de Luján,amarillo,2,Impacto glucémico medio
,,383.0,,15.6,7.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,343.0,56.9,12.8,7.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,86.0,13.4,3.8,1.9,Argenfood - Universidad Nacional de Luján,amarillo,2,Impacto glucémico medio
,,317.0,65.6,10.2,1.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,82.0,16.5,3.8,0.1,Argenfood - Universidad Nacional de Luján,amarillo,2,Impacto glucémico medio
,,328.0,68.0,10.2,1.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,332.0,72.2,8.9,0.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,206.0,41.5,8.7,0.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,214.0,41.0,10.4,0.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,97.0,17.8,3.7,1.2,Argenfood - Universidad Nacional de Luján,amarillo,2,Impacto glucémico medio
,,346.0,67.6,9.5,0.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,369.0,,11.1,3.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,338.0,64.5,9.1,4.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,68.0,11.9,3.2,0.8,Argenfood - Universidad Nacional de Luján,amarillo,2,Impacto glucémico medio
,,275.0,,9.1,2.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,347.0,,12.4,2.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,382.0,67.1,5.9,10.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,395.0,,11.0,8.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,401.0,,10.2,8.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,300.0,,9.8,1.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,361.0,,12.8,0.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,442.0,,13.5,15.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,437.0,,12.2,13.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,410.0,64.2,12.2,11.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,411.0,56.5,10.6,15.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,417.0,,8.5,10.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,419.0,,8.2,13.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,442.0,,4.9,21.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,342.0,,12.5,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,340.0,68.7,10.3,2.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,348.0,70.8,10.2,2.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,308.0,58.8,11.4,3.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,171.0,14.0,16.3,5.5,Argenfood - Universidad Nacional de Luján,amarillo,2,Impacto glucémico medio
,,269.0,,9.3,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,268.0,57.0,8.4,0.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,264.0,,8.9,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,280.0,,8.7,0.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,307.0,,9.8,1.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,223.0,42.3,9.8,1.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,271.0,,8.4,0.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,269.0,,9.5,2.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,269.0,,9.6,0.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,349.0,,11.7,0.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,70.0,,2.4,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,98.0,,4.1,1.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,21.0,,1.6,0.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,99.0,,4.4,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,63.0,,2.9,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,57.0,,6.6,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,102.0,,8.9,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,77.0,,5.8,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,105.0,18.3,6.0,0.8,Argenfood - Universidad Nacional de Luján,amarillo,2,Impacto glucémico medio
,,304.0,46.9,22.5,2.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,311.0,49.1,22.0,2.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,129.0,,8.2,0.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,668.0,,12.7,60.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,84.0,,1.1,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
