alimento,porcion_g,fuente
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
,50,RIGA
