ID;Prod;Val En (kcal);Carb (g);Azúc (g);Prot (g);Gras Tot (g);Fib (g);Na (mg)
001;Acelga;19;3.7;1.1;1.8;0.2;1.6;179
002;Albahaca;23;2.7;0.3;3.2;0.6;1.6;4
003;Berro;11;1.3;0.2;2.3;0.1;0.5;41
004;Canónigos;21;3.6;0.1;2.0;0.4;1.5;4
005;Cilantro;23;3.7;0.9;2.1;0.5;2.8;46
006;Escarola;17;3.4;0.2;1.3;0.2;3.1;22
007;Espinaca;23;3.6;0.4;2.9;0.4;2.2;79
008;Grelos;32;3.0;0.5;3.0;0.3;3.9;20
009;Hojas de remolacha;22;4.3;0.5;2.2;0.1;3.7;226
010;Kale;49;8.8;2.3;4.3;0.9;3.6;38
011;Lechuga (promedio);15;2.9;0.8;1.4;0.2;1.3;28
012;Menta;70;14.9;0.0;3.8;0.9;8.0;31
013;Pak choi;13;2.2;1.2;1.5;0.2;1.0;65
014;Perejil;36;6.3;0.8;3.0;0.8;3.3;56
015;Repollo blanco;25;5.8;3.2;1.3;0.1;2.5;18
016;Rúcula;25;3.7;2.1;2.6;0.7;1.6;27
017;Verdolaga;16;3.4;0.1;1.3;0.1;0.9;45
