ID_Producto,Country,Price,Date,Category
PROD_102,Argentina,2790.01,2023-05-01,Electronics
PROD_108,Argentina,1131.33,2023-05-01,Electronics
PROD_105,USA,1053.92,2023-05-01,Home
,USA,0.0,2023-05-01,Electronics
PROD_103,USA,4131.86,2023-05-01,Electronics
PROD_110,USA,4601.48,2023-05-01,Home
PROD_110,Sin Definir,4369.37,2023-05-01,Office
PROD_100,Argentina,2562.85,2023-05-01,Sin Categoría
PROD_109,Sin Definir,3707.59,,Sin Categoría
,Sin Definir,631.81,,Office
PROD_106,USA,842.06,2023-05-01,Sin Categoría
PROD_107,USA,3718.33,,Office
PROD_103,Argentina,3478.45,2023-05-01,Sin Categoría
PROD_105,USA,3030.0,2023-05-01,Sin Categoría
PROD_102,Argentina,4275.57,2023-05-01,Office
PROD_102,Argentina,1089.09,2023-05-01,Home
PROD_101,Argentina,300.31,2023-05-01,Electronics
PROD_105,Argentina,484.96,2023-05-01,Electronics
,USA,0.0,2023-05-01,Sin Categoría
PROD_105,Argentina,2696.65,2023-05-01,Sin Categoría
PROD_108,USA,2511.36,2023-05-01,Sin Categoría
PROD_101,USA,1514.33,2023-05-01,Sin Categoría
PROD_109,USA,501.12,2023-05-01,Electronics
,Argentina,3734.68,2023-05-01,Sin Categoría
PROD_107,Argentina,1727.03,,Electronics
PROD_105,USA,2485.33,2023-05-01,Sin Categoría
PROD_109,USA,0.0,2023-05-01,Electronics
PROD_104,Argentina,1526.94,2023-05-01,Sin Categoría
,USA,2605.1,2023-05-01,Office
PROD_110,USA,2066.46,2023-05-01,Electronics
PROD_107,USA,2484.19,2023-05-01,Sin Categoría
PROD_110,Argentina,2748.56,2023-05-01,Electronics
PROD_109,USA,3800.36,2023-05-01,Home
PROD_100,USA,3953.98,2023-05-01,Office
PROD_110,USA,1879.45,2023-05-01,Home
PROD_105,USA,3836.62,2023-05-01,Office
PROD_101,USA,1553.08,2023-05-01,Home
PROD_106,Argentina,1549.85,2023-05-01,Electronics
PROD_104,Argentina,3615.21,2023-05-01,Sin Categoría
PROD_104,Argentina,856.65,,Office
PROD_103,USA,2653.58,2023-05-01,Office
PROD_103,Argentina,2874.43,2023-05-01,Sin Categoría
,Argentina,4912.19,2023-05-01,Sin Categoría
PROD_109,Argentina,0.0,2023-05-01,Sin Categoría
PROD_107,Argentina,3635.64,2023-05-01,Sin Categoría
,USA,186.78,2023-05-01,Sin Categoría
,Argentina,3573.93,,Electronics
PROD_102,Sin Definir,4114.18,2023-05-01,Sin Categoría
PROD_102,Argentina,4337.12,2023-05-01,Electronics
PROD_103,Sin Definir,2834.65,2023-05-01,Office
PROD_106,Argentina,0.0,2023-05-01,Home
PROD_106,USA,3320.31,2023-05-01,Sin Categoría
PROD_105,Argentina,4184.55,2023-05-01,Sin Categoría
PROD_110,Argentina,2538.79,2023-05-01,Sin Categoría
PROD_104,Sin Definir,4166.91,2023-05-01,Office
PROD_110,Argentina,959.65,2023-05-01,Electronics
PROD_110,USA,3761.83,2023-05-01,Electronics
,Sin Definir,4871.59,2023-05-01,Sin Categoría
PROD_106,Sin Definir,120.47,2023-05-01,Electronics
PROD_104,Sin Definir,2896.91,2023-05-01,Home
PROD_107,Sin Definir,4536.31,2023-05-01,Sin Categoría
PROD_103,Argentina,3266.89,2023-05-01,Sin Categoría
PROD_105,Argentina,1088.72,2023-05-01,Electronics
PROD_105,USA,272.83,,Home
PROD_101,Argentina,1972.84,2023-05-01,Electronics
PROD_110,USA,0.0,,Office
PROD_105,USA,0.0,2023-05-01,Electronics
PROD_107,Argentina,369.17,2023-05-01,Electronics
PROD_106,USA,4762.5,,Electronics
PROD_105,USA,1364.82,2023-05-01,Sin Categoría
PROD_103,Sin Definir,2354.51,2023-05-01,Sin Categoría
PROD_101,Argentina,3762.89,2023-05-01,Home
PROD_108,USA,890.68,2023-05-01,Electronics
PROD_101,USA,1875.04,2023-05-01,Home
PROD_108,USA,2152.26,2023-05-01,Electronics
PROD_104,Sin Definir,0.0,2023-05-01,Sin Categoría
PROD_100,USA,4626.89,2023-05-01,Electronics
PROD_106,Argentina,2048.12,2023-05-01,Home
PROD_101,USA,543.4,,Electronics
PROD_109,USA,1437.45,2023-05-01,Office
PROD_100,USA,4389.0,2023-05-01,Sin Categoría
PROD_106,USA,3406.43,2023-05-01,Sin Categoría
,USA,2903.73,2023-05-01,Electronics
PROD_100,Argentina,551.8,2023-05-01,Electronics
PROD_103,Argentina,2710.38,2023-05-01,Home
,Argentina,3285.89,2023-05-01,Electronics
PROD_102,USA,3651.56,,Home
PROD_110,Argentina,1560.97,2023-05-01,Sin Categoría
PROD_102,Argentina,0.0,,Sin Categoría
PROD_106,USA,305.54,2023-05-01,Sin Categoría
PROD_104,USA,700.49,2023-05-01,Home
PROD_105,Argentina,1720.67,2023-05-01,Sin Categoría
PROD_106,Argentina,521.24,2023-05-01,Home
PROD_109,USA,4317.27,2023-05-01,Home
PROD_101,USA,0.0,2023-05-01,Sin Categoría
PROD_104,USA,4984.87,2023-05-01,Sin Categoría
PROD_100,USA,0.0,2023-05-01,Sin Categoría
PROD_107,USA,4268.58,2023-05-01,Electronics
PROD_107,Argentina,4679.97,2023-05-01,Home
PROD_108,Sin Definir,2435.09,,Sin Categoría
PROD_108,Argentina,2973.19,,Sin Categoría
PROD_107,USA,4866.95,2023-05-01,Office
,USA,404.72,2023-05-01,Office
PROD_106,USA,2996.9,2023-05-01,Electronics
PROD_107,Argentina,2062.8,2023-05-01,Home
PROD_100,USA,1939.09,2023-05-01,Sin Categoría
PROD_109,USA,1561.19,2023-05-01,Electronics
PROD_107,Argentina,0.0,2023-05-01,Home
,Argentina,4583.7,2023-05-01,Electronics
PROD_103,USA,3665.83,2023-05-01,Home
,USA,2232.89,,Home
,Argentina,4171.74,2023-05-01,Home
PROD_104,USA,2832.26,2023-05-01,Electronics
,USA,4277.52,2023-05-01,Home
,Argentina,1647.66,2023-05-01,Sin Categoría
PROD_107,Argentina,4688.78,2023-05-01,Home
PROD_105,USA,2386.66,2023-05-01,Sin Categoría
PROD_103,Argentina,2778.47,,Electronics
PROD_100,Sin Definir,3061.95,2023-05-01,Home
PROD_103,Argentina,3928.41,2023-05-01,Office
PROD_110,USA,4176.23,2023-05-01,Electronics
PROD_101,USA,4167.36,2023-05-01,Sin Categoría
PROD_103,USA,3524.69,2023-05-01,Electronics
PROD_106,USA,0.0,2023-05-01,Office
PROD_102,USA,2406.99,2023-05-01,Electronics
,USA,3000.07,2023-05-01,Office
PROD_106,USA,1569.07,2023-05-01,Electronics
PROD_103,USA,4132.24,2023-05-01,Electronics
PROD_108,Argentina,3331.13,2023-05-01,Home
PROD_102,Argentina,4563.64,2023-05-01,Office
PROD_100,USA,2937.1,2023-05-01,Electronics
,USA,4884.25,,Electronics
PROD_104,USA,1400.45,2023-05-01,Electronics
PROD_108,Argentina,3967.89,2023-05-01,Home
PROD_102,Argentina,0.0,,Electronics
PROD_108,USA,1118.97,2023-05-01,Sin Categoría
PROD_102,Argentina,2107.64,2023-05-01,Sin Categoría
PROD_106,USA,4266.45,2023-05-01,Office
