ID_Producto,Country,Price,Date,Category
 PROD_102 ,Arg.,"$ 2.790,01",May 1st 2023,ELECTRONICS
 PROD_108 ,argentina,"$ 1.131,33",2023.05.01,ELECTRONICS
 PROD_105 ,EE.UU,"$ 1.053,92",01/05/23,Home
,u.s.a,,05-01-2023,ELECTRONICS
 PROD_103 ,U.S.,"$ 4.131,86",05-01-2023,ELECTRONICS
 PROD_110 ,united states,"$ 4.601,48",2023-05-01,Home
 PROD_110 ,,"$ 4.369,37",2023.05.01,  office  
 PROD_100 ,Arg.,"$ 2.562,85",May 1st 2023,
 PROD_109 ,,"$ 3.707,59",,
,,"$ 631,81",,  office  
 PROD_106 ,EE.UU,"$ 842,06",01/05/23,
 PROD_107 ,USA,"$ 3.718,33",,  office  
 PROD_103 ,Arg.,"$ 3.478,45",01/05/23,
 PROD_105 ,usa,"$ 3.030,00",01/05/23,
 PROD_102 ,argentina,"$ 4.275,57",May 1st 2023,  office  
 PROD_102 ,Arg.,"$ 1.089,09",05-01-2023,Home
 PROD_101 ,ARG,"$ 300,31",May 1st 2023,ELECTRONICS
 PROD_105 ,ARG,"$ 484,96",01/05/23,Electronics
,united states,,May 1st 2023,Electronics
,u.s.a,,2023.05.01,
 PROD_105 ,ARG,"$ 2.696,65",2023-05-01,
 PROD_108 ,EE.UU,"$ 2.511,36",2023.05.01,
 PROD_101 ,USA,"$ 1.514,33",2023-05-01,
 PROD_109 ,U.S.,"$ 501,12",01/05/23,Electronics
,Arg.,"$ 3.734,68",2023-05-01,
 PROD_107 ,arg,"$ 1.727,03",,Electronics
 PROD_105 ,USA,"$ 2.485,33",2023-05-01,
 PROD_109 ,EE.UU,,2023.05.01,ELECTRONICS
 PROD_104 ,Arg.,"$ 1.526,94",05-01-2023,
,EE.UU,"$ 2.605,10",01/05/23,  office  
 PROD_110 ,EE.UU,"$ 2.066,46",2023-05-01,ELECTRONICS
 PROD_107 ,united states,"$ 2.484,19",2023-05-01,
 PROD_110 ,arg,"$ 2.748,56",May 1st 2023,ELECTRONICS
